t,P_L,P_S1,P_S2,P_S3,P_R,norm
177.2475,9.126929e-01,6.743460e-05,2.939168e-03,2.222179e-07,9.016573e-06,1.0000000000
180.5918,9.124090e-01,7.308522e-05,2.956926e-03,2.287576e-07,8.866824e-06,1.0000000000
183.9361,9.120137e-01,7.893272e-05,2.971389e-03,2.662052e-07,9.103221e-06,1.0000000000
187.2804,9.117656e-01,8.494766e-05,2.991499e-03,2.689667e-07,9.008444e-06,1.0000000000
190.6247,9.113524e-01,9.165820e-05,3.007728e-03,3.189197e-07,9.223345e-06,1.0000000000
193.9690,9.110776e-01,9.845458e-05,3.028945e-03,3.086308e-07,9.148114e-06,1.0000000000
197.3133,9.107148e-01,1.056663e-04,3.047963e-03,3.873518e-07,9.357570e-06,1.0000000000
200.6576,9.103669e-01,1.133533e-04,3.070268e-03,3.516766e-07,9.319221e-06,1.0000000000
204.0019,9.100579e-01,1.215754e-04,3.091520e-03,4.572697e-07,9.482041e-06,1.0000000000
207.3462,9.096757e-01,1.294195e-04,3.116233e-03,4.192176e-07,9.524087e-06,1.0000000000
210.6904,9.093566e-01,1.392850e-04,3.138737e-03,5.113163e-07,9.624223e-06,1.0000000000
214.0347,9.090045e-01,1.473892e-04,3.166171e-03,5.155443e-07,9.724184e-06,1.0000000000
217.3790,9.086295e-01,1.581202e-04,3.191054e-03,5.684075e-07,9.815999e-06,1.0000000000
220.7233,9.083210e-01,1.677613e-04,3.219860e-03,6.101191e-07,9.919880e-06,1.0000000000
224.0676,9.079137e-01,1.783931e-04,3.247768e-03,6.645161e-07,1.002603e-05,1.0000000000
227.4119,9.075924e-01,1.898036e-04,3.279560e-03,6.831225e-07,1.016323e-05,1.0000000000
230.7562,9.072209e-01,2.011178e-04,3.307565e-03,7.950113e-07,1.021805e-05,1.0000000000
234.1005,9.068368e-01,2.130987e-04,3.345242e-03,7.679726e-07,1.045365e-05,1.0000000000
237.4448,9.065065e-01,2.261612e-04,3.372991e-03,9.172422e-07,1.044434e-05,1.0000000000
240.7891,9.061014e-01,2.383567e-04,3.414493e-03,8.960891e-07,1.071536e-05,1.0000000000
244.1334,9.057464e-01,2.529940e-04,3.445665e-03,1.030618e-06,1.076973e-05,1.0000000000
247.4777,9.053724e-01,2.658817e-04,3.488053e-03,1.043038e-06,1.093985e-05,1.0000000000
250.8220,9.049790e-01,2.817031e-04,3.524682e-03,1.173403e-06,1.114460e-05,1.0000000000
254.1663,9.046112e-01,2.956909e-04,3.567153e-03,1.189400e-06,1.121855e-05,1.0000000000
257.5105,9.042216e-01,3.121896e-04,3.609825e-03,1.341621e-06,1.149250e-05,1.0000000000
260.8548,9.038203e-01,3.280533e-04,3.652688e-03,1.360605e-06,1.158357e-05,1.0000000000
264.1991,9.034635e-01,3.444518e-04,3.700619e-03,1.514729e-06,1.184013e-05,1.0000000000
267.5434,9.030070e-01,3.626710e-04,3.745782e-03,1.562084e-06,1.198867e-05,1.0000000000
270.8877,9.026953e-01,3.791228e-04,3.796940e-03,1.709833e-06,1.222573e-05,1.0000000000
274.2320,9.021896e-01,3.989034e-04,3.846759e-03,1.777788e-06,1.243332e-05,1.0000000000
277.5763,9.018885e-01,4.166919e-04,3.899579e-03,1.933669e-06,1.263662e-05,1.0000000000
280.9206,9.013916e-01,4.366858e-04,3.955282e-03,2.023927e-06,1.292997e-05,1.0000000000
284.2649,9.010394e-01,4.565925e-04,4.009788e-03,2.167336e-06,1.308753e-05,1.0000000000
287.6092,9.005902e-01,4.771310e-04,4.070595e-03,2.310069e-06,1.345947e-05,1.0000000000
290.9535,9.001839e-01,4.977434e-04,4.129103e-03,2.436036e-06,1.359656e-05,1.0000000000
294.2978,8.997514e-01,5.204030e-04,4.192483e-03,2.590086e-06,1.403032e-05,1.0000000000
297.6421,8.993424e-01,5.410427e-04,4.257391e-03,2.790992e-06,1.415192e-05,1.0000000000
300.9864,8.988685e-01,5.650708e-04,4.322934e-03,2.855877e-06,1.465653e-05,1.0000000000
304.3306,8.985051e-01,5.872401e-04,4.392992e-03,3.186267e-06,1.476825e-05,1.0000000000
