j_DW,protocolo,f_final,T_transfer,maxP_S,maxLeak
11,Rabi,0.6381542784058739,119.53536999995431,0.19923193254846433,nan
11,CTAP_eff,0.9969654613498745,11081.803267207655,0.0014354165892622403,0.0
11,CTAP_full,0.9470117307443653,11081.803267207655,0.07174857436475894,1.0712599640694265e-07
7,Rabi,0.05934732088829875,65.78584522354153,0.9849362533136959,nan
7,CTAP_eff,0.9646738608923294,22179.892482910996,0.06998867646290174,0.0
7,CTAP_full,0.9992443211417396,22179.892482910996,0.012857378100512734,5.9148831277333613e-08
5,Rabi,0.0036452452871107302,32.3833673288815,0.9990878566727728,nan
5,CTAP_eff,0.6223952000382417,44369.43955580361,0.46865679546612216,0.0
5,CTAP_full,0.8296315262522851,44369.43955580361,0.4999921362218188,3.522028357849649e-08
