j_DW,protocolo,f_final,T_transfer,maxP_S,maxLeak
11,Rabi,0.6381542784058665,358.60610999986295,0.1992319325484677,nan
11,CTAP_eff,0.9946229608575757,15344.035293056753,0.053157073741860544,0.0
11,CTAP_full,0.9893005156330267,15344.035293056753,0.034527539906264726,8.263398587615711e-08
7,Rabi,0.05934732088829905,197.35753567062457,0.9849362533136862,nan
7,CTAP_eff,0.9998753273072511,30710.620360953686,0.009418288781950425,0.0
7,CTAP_full,0.9998574063566498,30710.620360953686,0.00571973126690831,3.8367930166316455e-08
5,Rabi,0.0036452452871105294,97.15010198664449,0.9990878566728199,nan
5,CTAP_eff,0.809623881747999,61434.60861572808,0.24353107332615226,0.0
5,CTAP_full,0.8325714730390055,61434.60861572808,0.49999348829534257,2.8133793961160336e-08
