j_DW,protocolo,f,T_transfer,maxP_S,maxLeak,Theta0_deg,ceiling,tau_usado
11,Rabi,0.6381542784058665,358.60610999986295,0.1992319325484677,nan,2.080352812442189e-09,1.0,0
11,CTAP_eff,0.999932355717701,25573.39215509459,0.01545194973221781,0.0,2.080352812442189e-09,1.0,300
11,CTAP_full,0.9997845257682534,25573.39215509459,0.009847189439012801,3.1378866616194045e-08,2.080352812442189e-09,1.0,300
7,Rabi,0.05934732088829905,197.35753567062457,0.9849362533136862,nan,0.3740905529115127,0.9999573713042135,0
7,CTAP_eff,0.9998753273072511,30710.620360953686,0.009418288781950425,0.0,0.3740905529115127,0.9999573713042135,180
7,CTAP_full,0.999857427454373,30710.620360953686,0.005494913704513891,2.8133793517071126e-08,0.3740905529115127,0.9999573713042135,180
5,Rabi,0.0036452452871105294,97.15010198664449,0.9990878566728199,nan,0.28914699514978004,0.9999745323768332,0
5,CTAP_eff,0.9997490014499737,61434.60861572808,0.018521150525666514,0.0,0.28914699514978004,0.9999745323768332,180
5,CTAP_full,0.9995227150153275,61434.60861572808,0.010956342240313745,1.5843850498242773e-07,0.28914699514978004,0.9999745323768332,180
