j_DW,protocolo,f,T_transfer,maxP_S,maxLeak,Theta0_deg,ceiling
11,Rabi,0.6381542784058665,358.60610999986295,0.1992319325484677,nan,1.756581358380871e-13,1.0
11,CTAP_eff,0.2770374595123094,15344.035293056753,0.764524821388848,0.0,1.756581358380871e-13,1.0
11,CTAP_full,0.2457549485670982,15344.035293056753,0.3953420388116587,2.271789424357351e-07,1.756581358380871e-13,1.0
7,Rabi,0.05934732088829905,197.35753567062457,0.9849362533136862,nan,1.1850340385444921e-05,0.9999999999999571
7,CTAP_eff,0.8373146812448649,30710.620360953686,0.2731520344211922,0.0,1.1850340385444921e-05,0.9999999999999571
7,CTAP_full,0.8037620580381524,30710.620360953686,0.15379513882430773,1.7354132508806686e-07,1.1850340385444921e-05,0.9999999999999571
5,Rabi,0.0036452452871105294,97.15010198664449,0.9990878566728199,nan,0.28914699479053096,0.9999745323768965
5,CTAP_eff,0.9997491658747863,61434.60861572808,0.018519759158422248,0.0,0.28914699479053096,0.9999745323768965
5,CTAP_full,0.9995226375761442,61434.60861572808,0.011191647453925362,1.5843850498242773e-07,0.28914699479053096,0.9999745323768965
